ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.129.207.123","elite","AS132203","HK","Aceville Pte.ltd","294","N/A","3001","socks5","998","1","2023-09-26T03:02:00.885Z","16","650","4138"
"187.44.1.248","elite","AS28202","BR","Rede Brasileira de Comunicacao S/A","220","Rede Brasileira de Comunicacao S/A","5678","socks4","4007","1","2023-09-26T03:02:00.039Z","49","2012","4129"
"3.83.166.224","elite","AS14618","US","Amazon Technologies Inc.","87","AWS EC2 (us-east-1)","10580","socks5","204","1","2023-09-26T03:02:00.038Z","14","536","3961"
"201.121.249.246","elite","AS8151","MX","UNINET","199","Gestión de direccionamiento UniNet","8080","socks5","4808","1","2023-09-26T03:02:00.037Z","89","3650","4095"
"34.120.118.219","elite","AS396982","US","Google LLC","2","Google Cloud","2061","socks5","5095","1","2023-09-26T03:02:00.887Z","100","3979","3979"
"171.241.47.172","elite","AS7552","VN","Viettel Corporation","241","VIETEL","4007","socks4","5009","1","2023-09-26T03:02:00.033Z","84","3318","3953"
"171.244.10.204","elite","AS38731","VN","VIETEL","186","Viettel Corporation","21709","socks4","5011","1","2023-09-26T03:02:00.886Z","99","4038","4098"
"212.42.99.22","elite","AS8449","KG","ELCAT","104","ElCat, Ltd.","4145","socks4","5002","81","2023-09-26T03:02:00.885Z","87","3575","4124"
"139.180.170.204","elite","AS20473","AU","Choopa","261","N/A","44444","socks4","3704","1","2023-09-26T03:01:59.949Z","76","3073","4055"
"103.248.123.197","elite","AS58906","IN","Shivansh Infotech pvt Ltd","185","Shivansh Infotech pvt Ltd","53281","socks4","4805","1","2023-09-26T03:01:55.441Z","100","4078","4086"
"197.234.13.55","elite","AS36902","SC","Intelvision","186","Intelvision Ltd","4145","socks4","5286","1","2023-09-26T03:01:55.443Z","100","4087","4100"
"103.251.83.14","elite","AS45804","IN","M.B. Corporation","164","M.B. Corporation","44550","socks4","4999","1","2023-09-26T03:01:55.444Z","99","4050","4103"
"103.210.35.62","elite","AS59151","ID","Diskominfo DIY","284","Bidang Layanan Teknologi dan Informasi Dinas Perhubungan","4145","socks4","4909","1","2023-09-26T03:01:55.442Z","99","3962","4002"
"186.251.255.113","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","292","Seanet Telecom Carazinho Eireli","31337","socks4","4299","1","2023-09-26T03:01:55.437Z","99","3971","3991"
"186.192.195.211","elite","AS53133","BR","P & K Networks e Telecomunicações Ltda","197","P & K Networks e Telecomunicações Ltda","8080","socks4","4999","1","2023-09-26T03:01:50.240Z","100","4082","4093"
"185.159.131.58","elite","AS64439","RU","IT Outsourcing LLC","52","SkyHost","22222","socks4","5193","1","2023-09-26T03:01:50.249Z","100","3979","3997"
"103.210.35.40","elite","AS59151","ID","Diskominfo DIY","192","Bidang Layanan Teknologi dan Informasi Dinas Perhubungan","4145","socks4","5092","1","2023-09-26T03:01:50.250Z","97","4017","4123"
"54.38.242.224","elite","AS16276","FR","OVH SAS","6","OVH","31143","socks5","3485","85","2023-09-26T03:01:50.247Z","97","4014","4123"
"121.132.108.65","elite","AS4766","KR","Korea Telecom","294","N/A","5156","socks4","5096","1","2023-09-26T03:01:50.239Z","100","4039","4047"
"43.153.80.144","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","194","Tencent Cloud Computing","443","socks4","1284","1","2023-09-26T03:01:50.242Z","54","2176","4000"
"51.68.87.73","elite","AS16276","FR","OVH SAS","8","OVH","45177","socks4","5006","1","2023-09-26T03:01:50.346Z","100","4033","4034"
"43.153.175.43","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","290","Tencent Cloud Computing","443","socks5","5104","1","2023-09-26T03:01:50.248Z","95","3828","4011"
"203.223.171.185","elite","AS23966","PK","Linkdotnet Telecom Limited","135","Linkdotnet Telecom Limited","4145","socks4","4784","1","2023-09-26T03:01:50.347Z","99","4008","4051"
"177.38.5.87","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","285","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4796","1","2023-09-26T03:01:49.486Z","88","3558","4040"
"58.220.69.212","elite","AS137697","CN","CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhou, Jiangsu Province, P.","190","Chinanet JS","26589","socks5","5101","1","2023-09-26T03:01:49.487Z","84","3325","3955"
"41.60.232.61","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","184","Liquid Telecommunications Operations Limited","5678","socks4","616","1","2023-09-26T03:01:49.485Z","84","3416","4052"
"80.191.169.69","elite","AS58224","IR","Information Technology Company","180","Azad University of Anar","4145","socks4","5189","1","2023-09-26T03:01:49.483Z","91","3754","4128"
"104.25.108.120","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3110","1","2023-09-26T03:01:49.486Z","100","4081","4082"
"186.236.8.19","elite","AS28146","BR","Mhnet Telecom","284","Mhnet Telecom","4145","socks4","3905","1","2023-09-26T03:01:49.484Z","94","3750","3975"
"1.0.0.13","elite","AS13335","AU","Cloudflare, Inc","82","APNIC and Cloudflare DNS Resolver project","80","socks4","5005","1","2023-09-26T03:01:49.484Z","100","3909","3909"
"46.19.141.98","elite","AS51852","CH","Private Layer INC","91","Private Layer INC","9050","socks4","4705","1","2023-09-26T03:01:49.577Z","100","4033","4040"
"149.20.253.51","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","174","2","2023-09-26T03:01:49.577Z","100","4055","4068"
"199.188.89.136","elite","AS64200","US","Vivid-hosting LLC","140","Vivid-hosting LLC","9000","socks4","1782","1","2023-09-26T03:01:45.543Z","100","4019","4023"
"177.38.244.1","elite","AS52974","BR","Henet Telecomunicacoes Ltda","211","Lourivaldo Freitas Santos","5678","socks4","4913","1","2023-09-26T03:01:40.248Z","100","4000","4017"
"212.42.116.161","elite","AS8449","KG","\"ElCat\" Ltd.","111","ElCat, Ltd.","5678","socks4","4896","1","2023-09-26T03:01:40.245Z","85","3429","4013"
"183.88.37.94","elite","AS45629","TH","Triple T Broadband Public Company Limited","165","Triple T Broadband Public Company Limited","8080","socks4","2894","1","2023-09-26T03:01:40.335Z","88","3478","3973"
"103.235.198.94","elite","AS4007","NP","CCNEP","203","N/A","5678","socks4","5283","1","2023-09-26T03:01:40.250Z","48","1969","4079"
"207.180.198.90","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","16791","socks5","1010","1","2023-09-26T03:01:38.176Z","100","4039","4040"
"43.153.81.208","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks5","5095","1","2023-09-26T03:01:38.079Z","75","3035","4026"
"182.253.153.68","elite","AS17451","ID","BIZNET","172","N/A","5678","socks4","4698","1","2023-09-26T03:01:35.549Z","89","3620","4083"
"67.205.162.56","elite","AS14061","US","DigitalOcean, LLC","83","Digital Ocean","10605","socks4","5087","1","2023-09-26T03:01:35.645Z","93","3715","4010"
"202.79.34.96","elite","AS17501","NP","WorldLink Communications","172","N/A","5678","socks4","5098","1","2023-09-26T03:01:35.634Z","99","3981","4035"
"217.169.213.98","elite","AS9125","RS","Orion Telekom Network","96","N/A","1080","socks4","5097","1","2023-09-26T03:01:35.646Z","99","4075","4120"
"38.131.32.78","elite","AS14726","US","Chisholm Broadband LLC","193","Chisholm Broadband","5678","socks4","4199","1","2023-09-26T03:01:35.548Z","100","4039","4054"
"203.205.35.201","elite","AS45903","VN","CMC Telecom Infrastructure Company","209","CMC Telecom Infrastructure Company","4145","socks4","5093","1","2023-09-26T03:01:35.545Z","100","3999","4014"
"116.109.68.216","elite","AS7552","VN","Viettel Corporation","387","Viettel Group","1080","socks4","5098","1","2023-09-26T03:01:30.545Z","90","3510","3904"
"1.20.137.82","elite","AS23969","TH","TOT Public Company Limited","200","TOT Mobile Co LTD","32241","socks4","4904","1","2023-09-26T03:01:30.546Z","100","4011","4027"
"43.153.56.181","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","199","Tencent Cloud Computing","443","socks5","4009","82","2023-09-26T03:01:30.541Z","61","2453","4018"
"217.115.115.148","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","26","Webworld","56792","socks4","4723","1","2023-09-26T03:01:30.639Z","95","3904","4125"
"119.235.49.121","elite","AS45582","IN","VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA","159","Vainavi Industries Ltd","2150","socks4","5091","1","2023-09-26T03:01:30.544Z","99","4053","4099"
"190.104.148.250","elite","AS27895","PY","Núcleo S.A.","243","Núcleo S.A","8080","socks4","1103","2","2023-09-26T03:01:30.538Z","97","3929","4062"
"103.79.96.205","elite","AS64308","ID","PT IndoDev Niaga Internet","184","PT IndoDev Niaga Internet","4153","socks4","5000","1","2023-09-26T03:01:30.547Z","100","4016","4024"
"183.88.140.227","elite","AS45629","TH","Triple T Broadband Public Company Limited","165","Triple T Broadband Public Company Limited","8080","socks5","3590","1","2023-09-26T03:01:30.540Z","99","4015","4052"
"81.46.202.112","elite","AS16371","ES","acens Technologies, S.L.","25","ACENS-TELEFONICA","8080","socks4","4901","1","2023-09-26T03:01:26.489Z","100","4031","4033"
"103.35.108.145","elite","AS23991","BD","Ranks ITT","167","Ranks ITT Ltd.","4145","socks5","5001","1","2023-09-26T03:01:26.485Z","99","4019","4049"
"43.153.81.153","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","194","Tencent Cloud Computing","443","socks5","514","1","2023-09-26T03:01:26.488Z","88","3565","4063"
"175.101.18.21","elite","AS17754","IN","ExcellMedia Pvt Ltd","143","Excell Media Pvt Ltd","5678","socks4","5095","1","2023-09-26T03:01:26.487Z","100","4094","4113"
"85.116.120.106","elite","AS12389","RU","JSC \"Uralsvyazinform\" Chelyabinsk","98","N/A","3629","socks4","4914","1","2023-09-26T03:01:25.533Z","79","3200","4047"
"151.232.55.190","elite","AS58224","IR","Iran Telecommunication Company PJS","194","N/A","80","socks4","401","1","2023-09-26T03:01:25.448Z","61","2478","4060"
"51.83.140.70","elite","AS16276","PL","OVH SAS","33","OVH Sp. z o. o","8181","socks5","4196","1","2023-09-26T03:01:25.446Z","100","4120","4123"
"185.20.26.41","elite","AS60815","IQ","Data Net Company for Communications Limited","94","SCOPSKY Service","43051","socks4","4797","82","2023-09-26T03:01:25.447Z","93","3852","4131"
"178.212.52.92","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","81","Lubuskie Sieci Swiatlowodowe Sp. z o. o","5678","socks4","4908","1","2023-09-26T03:01:25.535Z","100","4053","4073"
"78.186.98.171","elite","AS9121","TR","TurkTelecom","89","N/A","1080","socks4","4810","1","2023-09-26T03:01:19.033Z","91","3623","3985"
"103.109.56.209","elite","AS151080","BD","Skynet Chowmuhani","185","N/A","15108","socks5","4700","1","2023-09-26T03:01:18.843Z","99","4083","4122"
"2.137.22.252","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","56","N/A","4153","socks4","4888","1","2023-09-26T03:01:18.834Z","98","4012","4084"
"104.25.58.39","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3698","1","2023-09-26T03:01:18.750Z","100","3932","3933"
"148.66.142.19","elite","AS26496","SG","GoDaddy.com, LLC","298","Godaddy.com","61481","socks5","4888","1","2023-09-26T03:01:18.837Z","100","4080","4088"
"125.161.141.186","elite","AS7713","ID","PT. TELKOM INDONESIA","195","N/A","80","socks5","4796","2","2023-09-26T03:01:18.838Z","87","3481","4008"
"1.0.0.84","elite","AS13335","AU","Cloudflare, Inc","2","APNIC and Cloudflare DNS Resolver project","80","socks4","3706","82","2023-09-26T03:01:18.842Z","100","4072","4072"
"103.140.83.94","elite","AS132290","BD","The Net","201","The","4145","socks4","5108","1","2023-09-26T03:01:13.642Z","99","4021","4072"
"218.1.142.116","elite","AS4812","CN","China Telecom","282","N/A","57114","socks5","4806","1","2023-09-26T03:01:13.391Z","21","838","4044"
"203.80.190.162","elite","AS38592","BD","Chittagong Online Limited","197","CTGONLINENET","8080","socks4","5091","2","2023-09-26T03:01:13.643Z","98","3978","4059"
"185.61.169.67","elite","AS41327","IT","FIBERTELECOM","92","N/A","4145","socks4","5109","1","2023-09-26T03:01:13.388Z","74","3056","4125"
"185.171.55.218","elite","AS44285","IR","Shahrad Network","97","N/A","4153","socks4","4799","1","2023-09-26T03:01:13.634Z","95","3951","4147"
"177.55.57.69","elite","AS262493","BR","Webby Tecnologia Ltda","207","Webby Tecnologia Ltda","3128","socks5","2888","1","2023-09-26T03:01:13.389Z","99","3962","4006"
"104.17.248.164","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","2101","1","2023-09-26T03:01:13.386Z","100","3987","3987"
"103.137.8.98","elite","AS138824","ID","STARTEL","165","N/A","4153","socks4","2691","1","2023-09-26T03:01:13.644Z","97","3983","4092"
"165.225.110.77","elite","AS53813","JP","ZSCALER, INC.","243","Zscaler, Inc.","10605","socks4","4609","1","2023-09-26T03:01:08.745Z","94","3741","3970"
"92.222.237.105","elite","AS16276","FR","OVH SAS","6","LCC LCC","8888","socks4","5103","1","2023-09-26T03:01:08.744Z","100","4082","4082"
"91.185.236.239","elite","AS21487","RU","Sakhatelecom","199","N/A","4145","socks4","2690","1","2023-09-26T03:01:08.747Z","94","3782","4030"
"69.161.21.126","elite","AS7782","US","Alaska Communications Systems Group, Inc.","194","Alaska Communications Systems Group, Inc.","3128","socks4","4613","1","2023-09-26T03:01:08.743Z","100","3993","4001"
"103.70.159.156","elite","AS133720","IN","speednet","194","N/A","5678","socks4","1208","1","2023-09-26T03:01:08.742Z","99","4094","4129"
"222.124.130.198","elite","AS7713","ID","Telekomunikasi Indonesia","188","PT. TELKOM INDONESIA","4145","socks4","3307","1","2023-09-26T03:01:03.745Z","88","3556","4049"
"138.201.139.223","elite","AS24940","DE","Hetzner Online GmbH","97","Hetzner","30113","socks4","4898","1","2023-09-26T03:01:03.842Z","78","3120","3998"
"139.162.100.214","elite","AS63949","JP","Akamai Technologies, Inc.","252","Linode, LLC","18199","socks4","4605","1","2023-09-26T03:01:03.740Z","99","3975","4008"
"149.28.155.188","elite","AS20473","SG","The Constant Company","201","Vultr Holdings, LLC","22002","socks4","4900","1","2023-09-26T03:01:03.744Z","29","1197","4073"
"103.39.236.205","elite","AS133255","IN","Elxer Communications Private Limited","194","Elxer Communications Private Limited","8080","socks4","1896","1","2023-09-26T03:01:03.743Z","97","3900","4033"
"149.202.164.5","elite","AS16276","FR","OVH SAS","6","OVH","16276","socks4","4703","1","2023-09-26T03:01:03.840Z","100","4059","4060"
"185.66.59.197","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","27","Svint","42647","socks4","5100","1","2023-09-26T03:01:01.486Z","92","3718","4061"
"181.78.13.91","elite","AS52468","CO","IFX Networks Argentina S.R.L","190","UFINET COLOMBIA, S. A","5678","socks4","4195","1","2023-09-26T03:01:01.394Z","99","3887","3919"
"102.64.116.100","elite","AS328500","CG","A.M.C Telecom","192","A.M.C Telecom","4145","socks4","4892","2","2023-09-26T03:01:01.393Z","99","3948","4008"
"185.186.17.57","elite","AS57723","PL","Media Telekom Sp. z o.o.","47","Media Telekom Sp. z o.o","5678","socks4","5010","1","2023-09-26T03:01:01.392Z","96","3918","4063"
"59.32.37.90","elite","AS4134","CN","Chinanet","220","Chinanet GD","3128","socks4","235","1","2023-09-26T03:01:01.394Z","45","1821","4043"
"1.231.77.174","elite","AS9318","KR","SK Broadband Co Ltd","280","broadNnet","1080","socks4","4900","1","2023-09-26T03:01:01.392Z","100","4083","4094"
"125.25.160.120","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","8080","socks4","4900","1","2023-09-26T03:01:01.391Z","28","1120","4010"
"103.76.188.33","elite","AS135758","IN","Alacriy Net System Service Private Limited","180","Alacriy Net System Service Private Limited","4153","socks4","5200","1","2023-09-26T03:01:01.391Z","99","3997","4023"
"8.210.150.195","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","198","Alibaba.com Singapore E-Commerce Private Limited","26666","socks5","3306","1","2023-09-26T03:00:58.737Z","97","3866","3981"
"103.214.112.79","elite","AS136052","ID","PT Cloud Hosting Indonesia","279","PT Denbe Anugerah Solusindo","32323","socks5","4295","1","2023-09-26T03:00:58.647Z","48","1903","3956"
"45.249.101.4","elite","AS135411","BD","Red Grapes Pte Ltd","193","N/A","56457","socks4","4896","1","2023-09-26T03:00:58.734Z","100","4090","4104"
"114.141.61.2","elite","AS38772","ID","PT. Smartlink Global Media.","187","N/A","4145","socks4","4987","1","2023-09-26T03:00:58.739Z","99","4071","4104"
"104.19.83.128","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4697","82","2023-09-26T03:00:58.650Z","100","3949","3949"
"128.199.59.76","elite","AS14061","NL","DigitalOcean, LLC","15","DigitalOcean, LLC","29321","socks5","5093","1","2023-09-26T03:00:58.748Z","99","4059","4095"
"213.96.98.213","elite","AS3352","ES","Telefonica De Espana SAU","30","TDENET (Red de servicios IP)","15724","socks4","2499","1","2023-09-26T03:00:53.544Z","99","3922","3960"
"37.221.67.62","elite","AS200019","MD","Alexhost SRL","43","Alexhost SRL","5555","socks4","492","1","2023-09-26T03:00:53.647Z","91","3665","4016"
"105.235.193.226","elite","AS37269","NG","ICSL","191","N/A","44624","socks4","4812","1","2023-09-26T03:00:53.547Z","62","2444","3944"
"154.19.185.66","elite","AS149042","US","SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED","186","SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED","18825","socks5","5101","1","2023-09-26T03:00:53.548Z","96","3846","4010"
"124.133.20.234","elite","AS4837","CN","CHINA UNICOM China169 Backbone","183","JN srd","7302","socks5","4693","1","2023-09-26T03:00:49.384Z","66","2577","3933"
"220.189.96.187","elite","AS4134","CN","Chinanet","207","N/A","38801","socks4","3311","1","2023-09-26T03:00:49.388Z","42","1618","3897"
"181.115.232.158","elite","AS6568","BO","Entel S.A. - EntelNet","200","Entel S.A. - EntelNet","4153","socks4","1700","1","2023-09-26T03:00:49.385Z","97","3969","4078"
"162.255.108.5","elite","AS54755","US","Desert Winds Wireless","189","Desert Winds Wireless Inc","5678","socks4","3998","1","2023-09-26T03:00:49.386Z","100","4099","4108"
"91.230.138.11","elite","AS51200","RU","IPUnnumbered","87","N/A","4145","socks4","5100","1","2023-09-26T03:00:48.533Z","99","4049","4073"
"88.135.40.26","elite","AS57391","IR","Laser Company Ltd","99","Laser Company Ltd","4153","socks4","4598","1","2023-09-26T03:00:48.342Z","66","2618","3993"
"101.109.251.42","elite","AS23969","TH","TOT Public Company Limited","190","TOT Public Company Limited","4145","socks4","5004","1","2023-09-26T03:00:48.343Z","99","4052","4111"
"113.74.26.116","elite","AS4134","CN","Chinanet","206","Chinanet GD","4145","socks4","3310","1","2023-09-26T03:00:48.341Z","83","3388","4104"
"51.38.177.96","elite","AS16276","FR","OVH SAS","7","OVH","7497","socks5","4990","82","2023-09-26T03:00:48.536Z","100","3982","3982"
"121.101.186.201","elite","AS38785","ID","BAGUSNET","207","N/A","43296","socks4","4898","1","2023-09-26T03:00:48.345Z","92","3778","4092"
"91.187.55.39","elite","AS34093","CZ","Nordic Telecom Regional s.r.o.","29","Kuznik","5678","socks4","4498","1","2023-09-26T03:00:43.339Z","99","4005","4055"
"36.92.177.9","elite","AS7713","ID","Telekomunikasi Indonesia","222","Temporary","1081","socks4","3101","1","2023-09-26T03:00:43.335Z","98","3998","4098"
"70.32.26.22","elite","AS55293","US","A2 Hosting, Inc.","90","A2 Hosting, Inc.","36546","socks5","1109","1","2023-09-26T03:00:43.436Z","100","4028","4035"
"182.253.182.38","elite","AS17451","ID","BIZNET","203","N/A","5678","socks4","4809","1","2023-09-26T03:00:43.341Z","97","3806","3917"
"202.159.35.225","elite","AS9340","ID","PT IndoInternet","205","N/A","443","socks4","316","1","2023-09-26T03:00:43.343Z","100","4109","4112"
"95.182.78.3","elite","AS50648","UA","PE UAinet","49","PE UAinet","5678","socks4","4804","2","2023-09-26T03:00:43.345Z","99","4068","4091"
"167.99.201.165","elite","AS14061","GB","DigitalOcean, LLC","14","DigitalOcean, LLC","15956","socks5","4911","1","2023-09-26T03:00:43.437Z","60","2381","3979"
"183.89.63.31","elite","AS45629","TH","Triple T Broadband Public Company Limited","194","Triple T Broadband Public Company Limited","8080","socks4","4902","1","2023-09-26T03:00:38.234Z","93","3782","4047"
"187.190.113.179","elite","AS22884","MX","Total Play Telecomunicaciones SA De CV","197","Total Play Telecomunicaciones SA De CV","5678","socks5","5088","1","2023-09-26T03:00:38.233Z","99","3960","4013"
"75.119.206.53","elite","AS26347","US","New Dream Network, LLC","195","New Dream Network, LLC","15745","socks4","3204","1","2023-09-26T03:00:38.235Z","100","4020","4021"
"49.51.27.198","elite","AS132203","CA","OPHL","93","Tencent cloud computing (Beijing) Co., Ltd.","443","socks5","4497","88","2023-09-26T03:00:38.146Z","80","3195","4010"
"188.255.244.83","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","102","Orion Telekom Tim d.o.o.Beograd","52116","socks4","606","1","2023-09-26T03:00:38.246Z","100","4058","4073"
"120.136.21.230","elite","AS131314","CN","China Broadband Communications (Hong Kong) Company Limited","388","Beijing Tian Wei Xin Tong technology corp. limited","10116","socks4","3097","1","2023-09-26T03:00:37.484Z","81","3328","4098"
"89.237.32.66","elite","AS20485","RU","multi-origin SUTTK","87","N/A","51549","socks4","2307","1","2023-09-26T03:00:37.483Z","99","4057","4107"
"61.7.138.226","elite","AS131090","TH","CAT Telecom Public Company Limited","185","National Telecom Public Company Limited","4145","socks4","5202","1","2023-09-26T03:00:33.145Z","65","2564","3974"
"116.199.174.1","elite","AS45661","IN","Capture Network Systems Pvt Ltd","187","Capture Network Systems Pvt. Ltd.","4145","socks4","4893","1","2023-09-26T03:00:33.135Z","28","1134","4073"
"221.229.252.98","elite","AS4134","CN","Chinanet","301","XuZhou YunQuanShanZhuang CORP","9797","socks4","5091","1","2023-09-26T03:00:33.044Z","85","3466","4083"
"165.227.82.7","elite","AS14061","US","DigitalOcean, LLC","100","DigitalOcean, LLC","24668","socks5","4599","1","2023-09-26T03:00:33.146Z","100","4027","4037"
"172.247.149.170","elite","AS40065","US","Cnservers LLC","189","CloudRadium L.L.C","53110","socks5","4700","1","2023-09-26T03:00:33.134Z","30","1208","4068"
"190.109.72.10","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","293","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","5010","1","2023-09-26T03:00:28.045Z","99","4038","4075"
"158.69.197.113","elite","AS16276","CA","OVH SAS","84","OVH Hosting, Inc","7497","socks5","4596","1","2023-09-26T03:00:28.145Z","99","3987","4009"
"104.16.105.2","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5103","1","2023-09-26T03:00:28.051Z","100","4024","4024"
"185.49.87.116","elite","AS43754","IR","Asiatech Data Transmission company","97","Asiatech Data Transmission company","3128","socks5","4607","1","2023-09-26T03:00:28.049Z","49","1970","3995"
"174.100.109.131","elite","AS10796","US","Charter Communications","290","Spectrum","10019","socks4","232","1","2023-09-26T03:00:28.046Z","100","4002","4016"
"23.231.34.48","elite","AS62904","US","Eonix Corporation","185","Eonix Corporation","80","socks4","5010","1","2023-09-26T03:00:28.047Z","99","4003","4046"
"195.154.243.38","elite","AS12876","FR","Online S.A.S.","625","ONLINE","57976","socks4","5093","1","2023-09-26T03:00:25.589Z","77","3089","3989"
"177.131.29.211","elite","AS262378","BR","Compuservice Empreendimentos Ltda","193","Compuservice Empreendimentos Ltda","4153","socks4","4511","1","2023-09-26T03:00:25.589Z","99","3940","3997"
"91.230.199.174","elite","AS57102","UA","Elektron-Service LLC","47","Grand","10001","socks4","799","1","2023-09-26T03:00:25.588Z","96","3891","4062"
"45.235.148.5","elite","AS268202","BR","F R BRAGA INFORMATICA ME","201","F R BRAGA INFORMATICA ME","3629","socks4","1209","1","2023-09-26T03:00:25.592Z","99","4095","4127"
"1.4.145.244","elite","AS23969","TH","TOT Public Company Limited","191","TOT Public Company Limited","4145","socks4","4104","1","2023-09-26T03:00:25.591Z","63","2475","3944"
"110.78.141.80","elite","AS131090","TH","CAT-BB","194","N/A","4145","socks4","4504","1","2023-09-26T03:00:25.590Z","74","2975","4008"
"54.39.46.86","elite","AS16276","CA","OVH SAS","88","OVH Hosting, Inc","3128","socks4","4598","2","2023-09-26T03:00:23.041Z","100","3989","3990"
"103.85.103.17","elite","AS135788","IN","Vedant Broadband","187","N/A","5678","socks4","3295","82","2023-09-26T03:00:23.046Z","99","4034","4068"
"95.216.199.159","elite","AS24940","FI","Hetzner Online GmbH","89","HETZNER-DC","50438","socks4","1501","1","2023-09-26T03:00:23.142Z","100","3980","3982"
"149.20.253.217","elite","AS18615","US","Mainstream Fiber Networks, LLC","101","Mainstream Fiber Networks, LLC","12551","socks4","2102","1","2023-09-26T03:00:18.041Z","100","4077","4085"
"31.172.66.166","elite","AS49063","RU","FORNEX","98","Fornex Hosting S.L.","20557","socks4","4989","1","2023-09-26T03:00:18.043Z","82","3303","4046"
"79.154.160.181","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","90","N/A","4145","socks4","4008","1","2023-09-26T03:00:17.949Z","100","4042","4044"
"43.153.55.205","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","195","Tencent Cloud Computing","443","socks5","5093","2","2023-09-26T03:00:17.943Z","81","3268","4030"
"170.231.64.112","elite","AS265045","BR","Johanes Kler Felema Comunicacoes ME","207","Johanes Kler Felema Comunicacoes ME","5678","socks4","4711","1","2023-09-26T03:00:17.941Z","80","3253","4069"
"41.85.189.66","elite","AS28683","BJ","Benin Telecoms Infrastructures SA","119","N/A","39475","socks4","5003","1","2023-09-26T03:00:13.878Z","100","3908","3924"
"5.190.229.170","elite","AS58224","IR","Iran Telecommunication Company PJS","122","N/A","8080","socks4","2814","1","2023-09-26T03:00:13.881Z","93","3758","4026"
"31.210.52.133","elite","AS49334","TR","SH ONLINE ILETISIM ANONIM SIRKETI","95","SH ONLINE ILETISIM ANONIM SIRKETI","29242","socks4","4586","1","2023-09-26T03:00:13.891Z","88","3597","4082"
"27.123.1.34","elite","AS45706","ID","PT Tele Globe Global","194","N/A","4153","socks4","342","1","2023-09-26T03:00:13.877Z","100","4066","4079"
"197.234.13.17","elite","AS36902","SC","Intelvision","163","Intelvision Ltd","4145","socks4","5082","1","2023-09-26T03:00:13.879Z","100","4016","4031"
"36.89.183.77","elite","AS7713","ID","PT. Telekomunikasi Indonesia","198","Telekomunikasi Indonesia","31802","socks4","5092","80","2023-09-26T03:00:13.880Z","99","4019","4075"
"177.86.64.93","elite","AS262623","BR","claudio jose lara -me","204","claudio jose lara -me","3629","socks4","4299","1","2023-09-26T03:00:13.880Z","29","1191","4054"
"176.31.182.185","elite","AS16276","FR","OVH ISP","5","OVH","9050","socks5","5005","1","2023-09-26T03:00:12.946Z","85","3521","4119"
"103.15.83.51","elite","AS140641","IN","Yotta Network Services Private Limited","183","Spacenet Internet Services Pvt Ltd","58366","socks4","3886","2","2023-09-26T03:00:12.849Z","14","562","4074"
"200.2.196.42","elite","AS4995","CL","Netup S.A.","289","Netup S.A","5678","socks4","4914","1","2023-09-26T03:00:12.935Z","30","1233","4108"
"64.25.54.2","elite","AS35977","US","Amdocs Inc.","186","Amdocs Inc","45160","socks4","4815","1","2023-09-26T03:00:12.945Z","100","4020","4020"
